d,price_usd,rhodl_1m
2013-09-26,124.6856744594,13381.529700000001
2013-09-27,126.6053477499,13373.201933333334
2013-09-28,126.7965517241,13347.377633333334
2013-09-29,127.1086277031,13297.5716
2013-09-30,126.0902618352,13251.6432
2013-10-01,127.5754243133,13200.590866666667
2013-10-02,104.1050929281,13134.1716
2013-10-03,117.5754950321,13059.540766666667
2013-10-04,121.9303477499,12999.710166666666
2013-10-05,121.3934026885,12945.685300000001
2013-10-06,122.4752612507,12951.210733333335
2013-10-07,123.9068725891,12925.787533333332
2013-10-08,124.7665289305,12893.109900000001
2013-10-09,125.9335203127,12862.798366666668
2013-10-10,126.7046504968,12864.165799999999
2013-10-11,127.2552992402,12865.133433333333
2013-10-12,127.8512630041,12869.550833333335
2013-10-13,132.4156586791,12832.2897
2013-10-14,135.3391949153,12813.8806
2013-10-15,141.493908533,12833.516733333332
2013-10-16,138.327921917,12898.4319
2013-10-17,143.7471338399,13014.446399999999
2013-10-18,152.77557218,13139.9757
2013-10-19,165.7727171245,13308.476966666667
2013-10-20,166.5001510812,13551.443066666667
2013-10-21,179.9106285798,13850.803699999999
2013-10-22,190.4027814144,14311.1258
2013-10-23,204.6003509643,14793.073933333333
2013-10-24,194.4100437651,15550.121799999999
2013-10-25,185.643787626,16320.457199999999
2013-10-26,179.8082180012,17095.7517
2013-10-27,194.5461332554,17806.390533333335
2013-10-28,196.2746873174,18516.4744
2013-10-29,204.4281741672,19060.531633333336
2013-10-30,197.900599421,19558.4138
2013-10-31,203.2836499123,19880.257066666665
2013-11-01,203.0371098494,20100.7023
2013-11-02,204.7928813559,20314.382266666667
2013-11-03,210.2753826117,20670.995199999998
2013-11-04,228.7910388662,21169.975
2013-11-05,243.6416689071,21685.522233333333
2013-11-06,263.2095839871,22556.933233333333
2013-11-07,290.1242261835,23695.5361
2013-11-08,333.750656512,25014.017766666668
2013-11-09,331.0511484512,26390.034066666667
2013-11-10,327.5586534997,27749.80743333333
2013-11-11,342.6976928697,29150.82806666667
2013-11-12,354.6454883109,30787.332566666664
2013-11-13,394.5044952244,32427.344766666665
2013-11-14,416.7063033027,34033.15866666667
2013-11-15,408.3987973349,35593.02503333333
2013-11-16,435.7984427674,37259.429066666664
2013-11-17,485.3365768556,39397.30136666667
2013-11-18,657.7785038749,42080.30096666667
2013-11-19,546.8783973115,44710.87906666667
2013-12-17,682.626772706,47005.418900000004
2013-12-18,526.1209763267,49322.6448
2013-12-19,685.5251289597,51601.367933333335
2013-12-20,600.2169542607,53609.77336666667
2013-12-27,722.5705674927,55525.1897
2013-12-28,715.8523630789,56997.131133333336
2013-12-29,727.2712156634,58523.410333333326
2013-12-30,735.7419970777,59814.86666666667
2013-12-31,729.5575829106,60929.48846666667
2014-01-01,752.4045499446,62085.45076666666
2014-01-02,784.9549213144,63422.531899999994
2014-01-03,807.2229390298,65124.85256666667
2014-01-04,828.6020626184,67086.50306666667
2014-01-05,902.487380263,68864.3352
2014-01-06,914.4599608416,70483.66903333334
2014-01-07,803.3517961987,72459.94470000001
2014-01-08,820.6900095032,74134.6351
2014-01-09,831.3347504874,75306.47326666668
2014-01-10,853.2988548446,76104.24726666667
2014-01-11,889.5558371193,76932.12473333333
2014-01-12,845.1913322209,77627.25166666666
2014-01-13,822.8770121975,78360.83966666667
2014-01-14,815.2936027119,78824.40366666668
2014-01-15,841.0898573641,79333.43363333333
2014-01-16,815.8548002981,79936.7074
2014-01-17,792.8295064757,80471.5959
2014-01-18,809.7835283564,80649.39856666667
2014-01-19,838.4284747341,80240.28646666666
2014-01-20,828.8852165926,79199.72336666666
2014-01-21,823.8179637639,78047.02563333334
2014-01-22,818.9763863238,76996.3252
2014-01-23,810.9224251958,75796.71283333332
2014-01-24,781.0425139509,74624.99533333333
2014-01-25,804.4032408007,73413.41400000002
2014-01-26,814.4993813735,72434.82096666665
2014-01-27,742.7013749708,71802.98546666668
2014-01-28,790.1764018761,71150.74066666668
2014-01-29,793.3844249094,70763.27233333333
2014-01-30,799.4744798364,70504.03333333334
2014-01-31,803.2375987849,70204.38590000001
2014-02-01,813.2195492168,69909.74123333333
2014-02-02,814.4908704267,69115.1933
2014-02-03,806.9974283725,68111.29856666666
2014-02-04,800.0782318936,67894.43376666667
2014-02-05,784.4736927778,67617.5097
2014-02-06,763.5693822326,67066.57456666666
2014-02-07,711.5712734191,66509.13506666667
2014-02-08,677.6823009414,66149.04906666667
2014-02-09,687.4060545763,66157.15043333333
2014-02-10,685.4574988369,66031.92276666667
2014-02-11,671.8996916902,65725.56363333334
2014-02-12,653.7657809117,64961.8204
2014-02-13,612.918414962,64173.36113333333
2014-02-14,668.7886026593,63263.09013333333
2014-02-15,654.3770601987,62272.21086666666
2014-02-16,623.2503219486,61163.6511
2014-02-17,631.3345963063,60270.2518
2014-02-18,627.2717614155,59382.9045
2014-02-19,623.5401369462,58535.29116666667
2014-02-20,563.7685610988,57760.931533333336
2014-02-21,580.3243159731,57107.136099999996
2014-02-22,607.1246333372,56360.18733333333
2014-02-23,610.0823237463,55716.745833333334
2014-02-24,542.2666507539,54998.81913333333
2014-02-25,533.707644436,54091.105899999995
2014-02-26,587.5785882992,53343.45243333333
2014-02-27,585.3939256501,52712.57133333333
2014-02-28,551.2947703098,52166.8787
2014-03-01,567.5342354413,51827.183300000004
2014-03-02,558.5277071566,51591.689033333336
2014-03-03,676.505732782,51368.553199999995
2014-03-04,674.5113994331,51403.32896666667
2014-03-05,670.3388510995,51349.77496666667
2014-03-06,667.7128340035,50862.97613333333
2014-03-07,631.7702952133,50313.384300000005
2014-03-08,621.5241144962,49740.73623333334
2014-03-09,640.578889322,49059.95423333333
2014-03-10,628.151241166,48226.525200000004
2014-03-11,633.733838235,47178.844000000005
2014-03-12,634.6468237171,46092.1439
2014-03-13,643.4321008591,45286.4049
2014-03-14,628.3085900058,44833.56503333334
2014-03-15,636.2186500614,44452.24936666666
2014-03-16,634.1689009709,44078.747200000005
2014-03-17,622.7602086499,43708.57666666667
2014-03-18,614.3095137171,43479.9269
2014-03-19,610.5112034746,43180.40363333333
2014-03-20,586.6075957101,42825.868833333334
2014-03-21,569.6945179953,42078.83376666667
2014-03-22,564.7000267037,41354.591766666665
2014-03-23,558.9588616914,40656.54610000001
2014-03-24,585.023250519,39971.98363333334
2014-03-25,583.7711890941,39097.89093333333
2014-03-26,579.243850401,38300.46413333333
2014-03-27,483.1640126125,37535.29143333333
2014-03-28,498.6613289492,36649.5697
2014-03-29,489.5170235476,35652.0492
2014-03-30,458.9663282759,34530.8263
2014-03-31,455.3553540561,33391.58096666667
2014-04-01,479.0084658679,32148.941633333336
2014-04-02,439.0114925248,30855.504233333333
2014-04-03,449.4411515196,29469.8907
2014-04-04,449.719869737,28171.498633333333
2014-04-05,461.6753314822,26533.663266666666
2014-04-06,458.6334805445,25004.385066666666
2014-04-07,448.6552750664,23344.076566666667
2014-04-08,452.803098796,21727.537433333335
2014-04-09,442.8379849322,20303.119499999997
2014-04-10,366.9118660634,18947.634166666667
2014-04-11,421.9435280713,17644.061033333335
2014-04-12,424.2742126476,16380.312800000002
2014-04-13,416.362321654,15138.340666666667
2014-04-14,461.1082465866,13926.735666666667
2014-04-15,521.6152996061,12763.1684
2014-04-16,531.481846732,11595.138866666666
2014-04-17,499.8375515447,10487.762633333334
2014-04-18,483.0200135336,9449.758233333334
2014-04-19,504.3655951785,8541.482933333335
2014-04-20,501.5571844492,8033.2307
2014-04-21,498.084530301,7531.821333333332
2014-04-22,489.5035100292,7051.9140333333335
2014-04-23,490.6329675433,6608.2766
