d,price_usd,mvrv_zscore
2012-07-30,9.088317249,1.12841
2012-07-31,9.3209984021,1.187857
2012-08-01,9.5680209039,1.25258
2012-08-02,10.5510396961,1.520022
2012-08-03,10.9158647466,1.613168
2012-08-04,10.9197148808,1.603167
2012-08-05,10.8051173776,1.560036
2012-08-06,10.8694465018,1.569683
2012-08-07,10.9412794401,1.583627
2012-08-08,11.0703915967,1.608594
2012-08-09,11.103724744,1.609877
2012-08-10,11.4475688045,1.699239
2012-08-11,11.5425355272,1.71786
2012-08-12,11.5925523898,1.724436
2012-08-13,11.9849629904,1.823199
2012-08-14,12.187097481,1.86698
2012-08-15,13.1700773539,2.126683
2012-08-16,13.4507908247,2.183526
2012-08-17,12.0770055424,1.780405
2012-08-18,11.5775071648,1.61586
2012-08-19,7.8306218419,0.594455
2012-08-20,9.9798766487,1.179662
2012-08-21,9.9029820181,1.156218
2012-08-22,9.7725545786,1.116395
2012-08-23,10.0886574261,1.201251
2012-08-24,10.5940425944,1.334642
2012-08-25,10.5836766715,1.325663
2012-08-26,10.5455307423,1.311101
2012-08-27,10.9003800807,1.390907
2012-08-28,10.9329585336,1.391939
2012-08-29,10.8677839018,1.369786
2012-08-30,10.7277488384,1.328333
2012-08-31,10.1024098206,1.139226
2012-09-01,10.0065329375,1.113577
2012-09-02,10.2261162016,1.172096
2012-09-03,10.4971343092,1.243876
2012-09-04,10.3640018942,1.202756
2012-09-05,11.0255228784,1.377728
2012-09-06,11.1607690158,1.408797
2012-09-07,11.0761223366,1.381528
2012-09-08,11.0432700333,1.367924
2012-09-09,11.0620954933,1.366972
2012-09-10,11.1252888048,1.356642
2012-09-11,11.2680929553,1.390804
2012-09-12,11.3152859082,1.397953
2012-09-13,11.3802992887,1.41074
2012-09-14,11.7301076224,1.499461
2012-09-15,11.7183934155,1.488239
2012-09-16,11.8869112238,1.526293
2012-09-17,11.9083171572,1.524816
2012-09-18,12.2596508387,1.610482
2012-09-19,12.5048540982,1.663909
2012-09-20,12.3671766493,1.612363
2012-09-21,12.3336578358,1.594097
2012-09-22,12.2137276251,1.5551
2012-09-23,12.1654630263,1.536723
2012-09-24,12.1135887165,1.516388
2012-09-25,12.1824053945,1.527541
2012-09-26,12.3198168597,1.556736
2012-09-27,12.3187514018,1.548751
2012-09-28,12.3814573892,1.555007
2012-09-29,12.4047515056,1.553825
2012-09-30,12.3916224728,1.54423
2012-10-01,12.3893951601,1.537778
2012-10-02,12.8072380959,1.637822
2012-10-03,12.9554304944,1.665669
2012-10-04,12.8623857779,1.632165
2012-10-05,12.7522194191,1.597771
2012-10-06,12.5051297136,1.528686
2012-10-07,11.8739970853,1.361437
2012-10-08,11.7333297481,1.320023
2012-10-09,11.8286634354,1.343788
2012-10-10,12.1091884781,1.412837
2012-10-11,12.0675518083,1.398365
