d,price_usd,realized_price
2012-11-10,10.863260443,6.8556
2012-11-11,10.8418406388,6.8608
2012-11-12,11.0313424553,6.8736
2012-11-13,10.9980027791,6.8821
2012-11-14,10.9589524185,6.8868
2012-11-15,11.1751098586,6.898
2012-11-16,11.7050448299,6.9272
2012-11-17,11.7500423992,6.9385
2012-11-18,11.6656310321,6.9493
2012-11-19,11.7505293507,6.9611
2012-11-20,11.6991703168,6.968
2012-11-21,11.7291351759,6.9782
2012-11-22,12.2919979465,6.9989
2012-11-23,12.2802876195,7.0174
2012-11-24,12.4132043998,7.0289
2012-11-25,12.5296894898,7.0468
2012-11-26,12.1846262399,7.0604
2012-11-27,12.1592753846,7.0683
2012-11-28,12.331659827,7.082
2012-11-29,12.4976616534,7.0932
2012-11-30,12.5861389275,7.1091
2012-12-01,12.5923868703,7.1168
2012-12-02,12.4979447566,7.1213
2012-12-03,12.6569578369,7.1347
2012-12-04,13.3695895815,7.1967
2012-12-05,13.3127502221,7.2236
2012-12-06,13.4779245403,7.2414
2012-12-07,13.4772824494,7.2677
2012-12-08,13.4999844091,7.2771
2012-12-09,13.3465108907,7.2897
2012-12-10,13.4922565809,7.3045
2012-12-11,13.6154156663,7.3217
2012-12-12,13.6682136426,7.3441
2012-12-13,13.7552515207,7.3748
2012-12-14,13.6009222528,7.3848
2012-12-15,13.5309482887,7.3889
2012-12-16,13.3328610766,7.3937
2012-12-17,13.3200719515,7.3956
2012-12-18,13.2720338691,7.4038
2012-12-19,13.53854318,7.4219
2012-12-20,13.5700270263,7.4354
2012-12-21,13.4289680023,7.4446
2012-12-22,13.4272139129,7.4478
2012-12-23,13.3181057569,7.4493
2012-12-24,13.4266626715,7.453
2012-12-25,13.3655670047,7.4554
2012-12-26,13.4546990175,7.4614
2012-12-27,13.3993031812,7.4654
2012-12-28,13.4555072215,7.4745
2012-12-29,13.3740038603,7.4759
2012-12-30,13.4450137989,7.4826
2012-12-31,13.5455524436,7.5074
2013-01-01,13.331371422,7.5092
2013-01-02,13.280606813,7.5105
2013-01-03,13.3840811485,7.5176
2013-01-04,13.4517211496,7.5288
2013-01-05,13.4594067668,7.5343
2013-01-06,13.5044965079,7.5397
2013-01-07,13.5560616578,7.5475
2013-01-08,13.7803506312,7.5689
2013-01-09,13.8209552566,7.5782
2013-01-10,14.1231728556,7.6041
2013-01-11,14.2276211227,7.6216
2013-01-12,14.214285656,7.6298
2013-01-13,14.1607882671,7.6407
2013-01-14,14.3179703203,7.6539
2013-01-15,14.3136377516,7.6697
2013-01-16,14.7078140479,7.6947
2013-01-17,15.5985997396,7.7523
2013-01-18,15.7157911239,7.7843
2013-01-19,15.5881263998,7.7995
2013-01-20,15.7195921373,7.8139
2013-01-21,16.7810195207,7.8778
2013-01-22,17.3001788387,7.9711
2013-01-23,17.5363954229,8.0236
2013-01-24,16.9010860722,8.0499
2013-01-25,17.4072020292,8.088
2013-01-26,17.5536291761,8.1234
2013-01-27,17.8646280148,8.1918
2013-01-28,18.7942648743,8.2603
2013-01-29,19.5147141861,8.3964
2013-01-30,19.7374466864,8.4871
2013-01-31,20.5116430307,8.6091
2013-02-01,20.4430919562,8.7709
2013-02-02,19.6359017054,8.7854
2013-02-03,20.5789396832,8.8363
2013-02-04,20.4404879614,8.8749
2013-02-05,20.6593447276,8.9243
2013-02-06,21.2085655319,8.9814
2013-02-07,22.1177651789,9.0528
2013-02-08,22.7873650499,9.1533
2013-02-09,23.7338601537,9.2339
2013-02-10,23.9002893571,9.279
2013-02-11,24.4972726949,9.3517
2013-02-12,24.9797364074,9.4372
2013-02-13,24.6416509348,9.5273
2013-02-14,27.2823898203,9.6838
2013-02-15,27.1712692291,9.8308
2013-02-16,27.346163562,9.9245
2013-02-17,26.9272513764,9.9974
2013-02-18,26.9288676371,10.0658
2013-02-19,29.4136243808,10.2164
2013-02-20,29.8198072276,10.3317
2013-02-21,29.8180689158,10.4096
2013-02-22,30.4726565324,10.5256
2013-02-23,29.8064545459,10.5879
2013-02-24,29.8828484924,10.7156
2013-02-25,30.352033095,10.9356
2013-02-26,31.1555373507,11.0458
2013-02-27,31.240261083,11.0958
2013-02-28,33.3752939366,11.3815
2013-03-01,34.6062570341,11.5386
2013-03-02,34.143515924,11.604
2013-03-03,34.4517404845,11.6646
2013-03-04,36.3762652507,11.8108
2013-03-05,40.6729539903,12.1754
2013-03-06,43.2849961852,12.6908
2013-03-07,41.9474407158,12.9283
2013-03-08,43.902928915,13.0923
2013-03-09,46.8885866123,13.364
2013-03-10,46.066038459,13.4916
2013-03-11,48.2750745772,13.6885
2013-03-12,44.4135452582,13.8027
2013-03-13,47.0161908516,14.0159
2013-03-14,46.9255625535,14.1735
2013-03-15,46.9025172478,14.3292
2013-03-16,47.1570156996,14.4368
2013-03-17,47.3334997838,14.5414
2013-03-18,51.3654363913,14.8045
2013-03-19,59.4986011114,15.4127
2013-03-20,63.6874854982,15.8993
2013-03-21,70.9175250053,16.7471
2013-03-22,69.8460845418,17.2218
2013-03-23,64.3831163705,17.3693
2013-03-24,71.6904242065,17.8088
2013-03-25,74.3140892496,18.4687
2013-03-26,78.614197432,18.9397
2013-03-27,88.8520799138,19.762
2013-03-28,87.6731739608,20.4819
2013-03-29,90.2956993583,20.9947
2013-03-30,92.1899599883,21.6956
2013-03-31,93.8992384231,22.0146
2013-04-01,103.5803469112,23.2626
2013-04-02,116.6799442412,24.5468
2013-04-03,131.3848093782,27.0871
2013-04-04,133.0071204757,28.0653
2013-04-05,142.626065488,30.2638
2013-04-06,143.0818229649,31.0066
2013-04-07,162.8522145769,32.2505
2013-04-08,186.351161848,34.9437
2013-04-09,230.6829966952,40.8959
2013-04-10,161.192889661,42.4264
2013-04-11,82.901585038,39.4992
2013-04-12,111.476373194,39.2422
2013-04-13,97.6090718703,39.0126
2013-04-14,88.8614913998,38.7269
2013-04-15,80.874693166,38.2335
2013-04-16,68.2831387271,37.7057
2013-04-17,92.8640369135,38.3226
2013-04-18,108.6283450923,39.0152
2013-04-19,119.012283239,39.6699
2013-04-20,128.208288893,40.2506
2013-04-21,118.4832437563,40.6481
2013-04-22,126.3142717598,41.099
2013-04-23,142.1272180532,42.0131
2013-04-24,154.1332778045,43.913
2013-04-25,141.0086592785,44.601
2013-04-26,137.2096004196,44.864
2013-04-27,128.2266696052,45.1917
2013-04-28,134.6235695617,45.4394
2013-04-29,143.8103781926,46.098
2013-04-30,139.1296475453,46.3755
2013-05-01,116.1138010403,46.0682
2013-05-02,106.3409846973,45.8167
2013-05-03,96.3168402741,45.6723
2013-05-04,112.4976363691,45.8054
2013-05-05,116.488715827,46.0005
2013-05-06,112.1185961952,46.0645
2013-05-07,111.6092128735,46.1416
2013-05-08,113.1360618548,46.1856
2013-05-09,111.9745327107,46.2395
2013-05-10,117.6910368837,46.2341
2013-05-11,115.4997776628,46.4451
2013-05-12,114.8856755596,46.5254
2013-05-13,117.4044566461,46.6461
2013-05-14,107.8655665693,46.5625
2013-05-15,108.9868524255,46.6739
2013-05-16,112.9178740503,46.7624
2013-05-17,117.284616014,46.8968
2013-05-18,118.1698766803,47.1823
2013-05-19,117.033880187,47.2397
2013-05-20,117.8186364699,47.3284
2013-05-21,117.2520409117,47.3908
2013-05-22,118.9781735827,47.4991
2013-05-23,123.7261560491,47.6766
2013-05-24,128.9710806546,47.9317
2013-05-25,128.8449152542,48.5342
2013-05-26,130.1586011105,48.6136
2013-05-27,126.392905903,48.7205
2013-05-28,125.9045952659,48.8293
2013-05-29,129.5648123904,49.0874
2013-05-30,126.5130683811,49.2313
2013-05-31,127.8164888954,49.4155
2013-06-01,128.7911510812,49.5447
2013-06-02,122.6267089421,49.6418
2013-06-03,122.9491879018,49.7572
2013-06-04,120.1899687317,49.8637
2013-06-05,120.8699238457,50.0278
2013-06-06,119.0539756698,50.3283
2013-06-07,110.1977314436,50.2812
2013-06-08,109.1785453413,50.2791
2013-06-09,99.9036034483,50.2367
2013-06-10,104.3575666277,50.2274
