,the_date,mvrv_zscore,price_usd
519,2012-03-03,-0.078474,4.6281932525
520,2012-03-04,-0.028037,4.8341444816
521,2012-03-05,0.008038,4.9823929039
522,2012-03-06,0.008965,4.9878413524
523,2012-03-07,-0.000934,4.9491128846
524,2012-03-08,-0.004128,4.934979495
525,2012-03-09,-0.019464,4.8722978475
526,2012-03-10,-0.02613,4.8414238048
527,2012-03-11,-0.013,4.8920287516
528,2012-03-12,-0.008073,4.9108393793
529,2012-03-13,0.085417,5.2908802788
530,2012-03-14,0.108551,5.3905432922
531,2012-03-15,0.095042,5.3408208989
532,2012-03-16,0.093481,5.3395747914
533,2012-03-17,0.068369,5.2360035541
534,2012-03-18,0.077192,5.2701489854
535,2012-03-19,-0.069435,4.6786725529
536,2012-03-20,-0.030315,4.8308302162
537,2012-03-21,-0.031072,4.8172295248
538,2012-03-22,-0.051812,4.729608505
539,2012-03-23,-0.061457,4.6916431765
540,2012-03-24,-0.070016,4.6519862659
541,2012-03-25,-0.094113,4.5522702624
542,2012-03-26,-0.072896,4.6327223597
543,2012-03-27,-0.027276,4.8113407352
544,2012-03-28,-0.032638,4.7905893916
545,2012-03-29,-0.030989,4.7940665722
546,2012-03-30,0.00475,4.8614093565
547,2012-03-31,0.011838,4.8897768732
548,2012-04-01,-0.012728,4.7933256774
549,2012-04-02,0.035777,4.9830454787
550,2012-04-03,0.032744,4.9562331929
551,2012-04-04,0.022793,4.9178421777
552,2012-04-05,0.023282,4.9208492449
553,2012-04-06,0.029971,4.9491074322
554,2012-04-07,-0.03158,4.7097119103
555,2012-04-08,-0.01345,4.7788188492
556,2012-04-09,0.00462,4.8525473811
557,2012-04-10,0.002022,4.8414175938
558,2012-04-11,0.020811,4.9152507171
559,2012-04-12,0.016301,4.9011581473
560,2012-04-13,0.024588,4.9344067335
561,2012-04-14,0.029982,4.956364661
562,2012-04-15,0.030646,4.9616003384
563,2012-04-16,0.027228,4.9507645693
564,2012-04-17,0.031749,4.9687445076
565,2012-04-18,0.071647,5.124377443
566,2012-04-19,0.07254,5.1309065114
