d,price_usd,sth_realized_price
2016-07-10,649.9593409702,552.2613611750319
2016-07-11,650.2725946815,552.4857752749751
2016-07-12,670.0231279953,554.5677523602247
2016-07-13,658.333613384,554.7499758736441
2016-07-14,660.9059601987,556.0132253294747
2016-07-15,666.758671128,557.1982268330693
2016-07-16,665.2756221508,558.1098654771511
2016-07-17,681.0896019871,562.4096833097796
2016-07-18,675.1185791935,563.2989579421053
2016-07-19,674.6603603156,565.4292524022616
2016-07-20,667.3053648743,565.717230737279
2016-07-21,666.8517393337,566.5719688363403
2016-07-22,650.5629116306,566.331939536484
2016-07-23,657.3779429573,566.8231825433094
2016-07-24,661.3939798364,568.8096839386496
2016-07-25,655.1195778492,569.2996212020188
2016-07-26,654.6263391584,570.8815723486628
2016-07-27,656.2751468732,571.8996471965845
2016-07-28,656.1964533606,573.2081134915757
2016-07-29,657.5575675044,573.8372454696311
2016-07-30,655.3617301578,574.5054147299957
2016-07-31,624.804487142,573.4380457243166
2016-08-01,606.5092479252,571.6903987541009
2016-08-02,526.9811483343,561.5631903878927
2016-08-03,570.3470409117,562.0966364921982
2016-08-04,583.5421580362,562.0624067369583
2016-08-05,581.2798056692,561.8502652212127
2016-08-06,590.7954029807,562.0806332264018
2016-08-07,594.732324021,562.873688654109
2016-08-08,591.6292838691,564.9870906537373
2016-08-09,587.9321382233,565.4568897068295
2016-08-10,589.9687583285,565.3213985557069
2016-08-11,589.5858846873,565.203555091364
2016-08-12,587.1916495617,566.3335862272854
2016-08-13,585.3635816482,566.7758063265738
2016-08-14,571.3870625365,566.3171105942241
2016-08-15,566.5644413209,565.6990769428267
2016-08-16,578.4149241379,566.4284553494097
2016-08-17,573.6637444185,565.2809746217805
2016-08-18,573.263191993,566.1345835399175
2016-08-19,573.9584579193,566.3104295917343
2016-08-20,581.7970701344,567.014129833156
2016-08-21,580.7921925774,568.0833012042752
2016-08-22,584.9718977206,569.0457107253458
2016-08-23,582.6277473992,569.5994029151077
2016-08-24,578.7018316774,569.7862761646419
2016-08-25,576.0334365868,569.7232786755986
2016-08-26,578.8746534191,569.7648903256725
2016-08-27,570.2009937463,570.5851527563374
2016-08-28,575.1052325541,571.1088403273193
2016-08-29,573.4292675628,570.9540984885298
2016-08-30,575.695698422,571.2809523177424
2016-08-31,572.2727583285,571.9200170733874
2016-09-01,572.2217020456,572.1823439714299
2016-09-02,576.8467673875,571.6592280596274
2016-09-03,600.3744067797,573.190786096356
2016-09-04,610.5389133255,574.2647334314271
2016-09-05,607.526964173,575.0179073449284
2016-09-06,612.99545827,576.2768045525879
2016-09-07,615.6598191116,577.3020018309973
2016-09-08,630.5501720047,579.1744823716414
2016-09-09,622.9778840444,581.0859018380213
2016-09-10,624.7526404442,581.8409115879845
2016-09-11,608.2466759205,582.847217643334
2016-09-12,607.707372706,582.9067823690581
2016-09-13,608.6942963179,583.8233983795643
2016-09-14,609.413087668,585.9225812714411
2016-09-15,607.070262595,586.9946961513383
2016-09-16,607.8064380479,587.5839116688188
2016-09-17,607.3814496786,588.2234776210581
2016-09-18,611.5334603156,588.8086004235322
2016-09-19,608.8713063121,589.5049298431005
2016-09-20,608.3717486265,591.2760506971765
2016-09-21,596.9457566335,591.0546015701742
2016-09-22,595.56471654,591.3505228559751
2016-09-23,602.3787849211,592.1188387436508
2016-09-24,602.6873597312,593.0864869123635
2016-09-25,600.6100548802,593.2898736974461
2016-09-26,606.7788106371,594.1964312396043
2016-09-27,605.1516137347,595.5874827652045
2016-09-28,604.6864943892,596.2408272416625
2016-09-29,605.2025619521,596.7022041903981
2016-09-30,608.8658407364,597.2612411464665
2016-10-01,615.4084788428,597.8974019626412
2016-10-02,611.7485783168,598.3866308565966
2016-10-03,612.5903473992,598.9239241965658
2016-10-04,610.0078813559,600.0784228671021
2016-10-05,612.1477809468,600.6048998329558
2016-10-06,611.7608627703,601.2462297590102
2016-10-07,617.9057051432,601.932612270792
2016-10-08,619.3010017534,602.3437704986976
2016-10-09,617.1010413209,602.5565636448545
2016-10-10,618.0852,603.0212918610061
2016-10-11,642.9813872589,605.8981990706551
2016-10-12,636.5979322034,606.8238912530089
2016-10-13,635.4440953244,607.207475143266
2016-10-14,639.5860902981,609.3637291006296
2016-10-15,637.283759322,609.7346238886067
2016-10-16,642.9130425482,610.5461423598283
2016-10-17,639.1375364699,611.2258119580545
2016-10-18,635.5765085915,612.3570226784582
2016-10-19,629.6407080362,612.464025464127
2016-10-20,628.5989011105,612.5103150846126
2016-10-21,630.9062033898,613.3217223763816
2016-10-22,654.508630976,614.6258686888306
2016-10-23,651.9619567504,615.2824594164989
2016-10-24,650.0271671537,616.1668857493246
2016-10-25,655.7925050847,617.4642988892012
2016-10-26,675.1098693162,620.0534296756888
2016-10-27,686.5233270602,621.959649841271
2016-10-28,690.3906549386,623.4992949086744
2016-10-29,715.4454693162,627.1824054310173
2016-10-30,699.3334109877,627.8805980518136
2016-10-31,698.8977279953,630.3632995989855
2016-11-01,730.5784800117,633.8854254018606
2016-11-02,740.3670555231,636.1700802751858
2016-11-03,689.939206955,635.4224741826611
2016-11-04,705.4320166569,637.241185976285
2016-11-05,706.8193255698,638.1940643033859
2016-11-06,715.8968797779,639.9253826995229
2016-11-07,706.1812167738,640.725153665895
2016-11-08,711.8358465809,642.9276625411538
2016-11-09,721.5015099357,645.5503692464484
2016-11-10,713.4076156049,646.3474345500349
2016-11-11,715.7033106371,647.2536569047452
2016-11-12,703.8475511397,647.4545416387432
2016-11-13,703.626435301,647.8603386642088
2016-11-14,705.6435841613,648.7252971368217
2016-11-15,712.3471528346,650.3133264920049
2016-11-16,742.0501175921,654.0863362707937
2016-11-17,735.3180805377,656.2309600921529
2016-11-18,749.578727294,658.7008728249026
2016-11-19,751.2138194039,659.7944129318516
2016-11-20,730.3508136178,659.6100500305081
2016-11-21,736.5069839275,660.6016784843143
2016-11-22,747.9976779661,662.6521631588791
2016-11-23,741.2403179427,662.7780735404114
2016-11-24,737.354975979,663.5508967273885
2016-11-25,739.6852001753,663.8530680700226
2016-11-26,734.6529258913,663.9985225603663
2016-11-27,727.7411158387,663.7967920036187
2016-11-28,730.0824837522,664.1387657396124
2016-11-29,731.6464357101,665.3176835195226
2016-11-30,742.204451315,666.8665358123008
2016-12-01,753.674910111,668.7274789884394
2016-12-02,772.3023827294,672.0798838112154
2016-12-03,766.1104681473,673.2091932355252
2016-12-04,766.3801390999,674.1206908333439
2016-12-05,752.670726242,674.8941071817774
2016-12-06,759.1173257744,676.0436765895689
2016-12-07,764.9876500877,678.4708427196194
2016-12-08,767.6592246347,680.0231615408977
2016-12-09,771.9023210988,681.4448475480823
2016-12-10,775.4745613092,683.3922980857043
2016-12-11,770.4961504968,684.1807028317832
2016-12-12,778.5065990649,686.3195137497377
2016-12-13,778.9306945646,687.6955562052565
2016-12-14,776.9639614845,689.2019085233325
2016-12-15,776.1767819988,690.5216333067265
2016-12-16,782.2302158971,692.646635854089
2016-12-17,789.6029322034,694.7892748474885
2016-12-18,790.632966526,696.5608097944895
2016-12-19,790.2790316774,698.0432059601227
2016-12-20,799.7775207481,700.2169618815782
2016-12-21,828.4836792519,704.7453542344485
2016-12-22,858.5014339568,710.1157683554331
2016-12-23,915.5624383402,720.4268458219433
2016-12-24,891.1552720631,722.2394978495286
2016-12-25,896.0032793103,723.061675012605
2016-12-26,903.2012466394,726.6970708336712
2016-12-27,925.9508104617,731.8335401981826
2016-12-28,979.9609739918,740.7925040386687
2016-12-29,973.4625594389,746.24067838684
2016-12-30,961.1826581531,750.6516731522715
2016-12-31,968.9705970193,752.8813349099612
2017-01-01,997.2573579778,758.5019282767904
2017-01-02,1017.07788609,765.2106490484828
2017-01-03,1032.6090531853,773.3429808824703
2017-01-04,1134.4964453536,791.3555559265675
2017-01-05,1000.4981289305,793.1948414440295
2017-01-06,892.46395564,787.3751522956052
2017-01-07,903.4532836353,787.3730200714476
2017-01-08,912.4849970777,788.3493737835211
2017-01-09,903.508666803,798.1763215675761
2017-01-10,906.4989473992,799.8023149377972
2017-01-11,788.3146559906,790.816230080996
2017-01-12,807.1098335476,789.7977084418567
2017-01-13,826.7469274109,790.1729313522661
2017-01-14,820.0451572764,789.7156132179256
2017-01-15,824.5470651666,790.2844288445746
2017-01-16,830.8380350672,790.2523969923906
2017-01-17,906.0268281122,795.7657137809405
2017-01-18,881.2598153711,796.6325877475638
2017-01-19,902.2638699591,799.9045109792171
2017-01-20,895.1745161894,800.7204878544228
2017-01-21,924.4682594974,803.2141147092498
2017-01-22,922.4670773816,805.5684167479483
2017-01-23,919.1157441262,807.9860250714067
