d,price_usd,terminal_price
2012-12-24,13.4266626715,35.06
2012-12-25,13.3655670047,35.05
2012-12-26,13.4546990175,35.04
2012-12-27,13.3993031812,35.03
2012-12-28,13.4555072215,35.04
2012-12-29,13.3740038603,35.05
2012-12-30,13.4450137989,35.06
2012-12-31,13.5455524436,35.29
2013-01-01,13.331371422,35.3
2013-01-02,13.280606813,35.31
2013-01-03,13.3840811485,35.33
2013-01-04,13.4517211496,35.39
2013-01-05,13.4594067668,35.4
2013-01-06,13.5044965079,35.39
2013-01-07,13.5560616578,35.39
2013-01-08,13.7803506312,35.48
2013-01-09,13.8209552566,35.54
2013-01-10,14.1231728556,35.61
2013-01-11,14.2276211227,35.65
2013-01-12,14.214285656,35.65
2013-01-13,14.1607882671,35.71
2013-01-14,14.3179703203,35.72
2013-01-15,14.3136377516,35.78
2013-01-16,14.7078140479,35.83
2013-01-17,15.5985997396,35.92
2013-01-18,15.7157911239,35.99
2013-01-19,15.5881263998,36.01
2013-01-20,15.7195921373,36.04
2013-01-21,16.7810195207,36.17
2013-01-22,17.3001788387,36.47
2013-01-23,17.5363954229,36.54
2013-01-24,16.9010860722,36.77
2013-01-25,17.4072020292,36.88
2013-01-26,17.5536291761,36.99
2013-01-27,17.8646280148,37.29
2013-01-28,18.7942648743,37.41
2013-01-29,19.5147141861,37.8
2013-01-30,19.7374466864,38.26
2013-01-31,20.5116430307,38.54
2013-02-01,20.4430919562,39.48
2013-02-02,19.6359017054,39.77
2013-02-03,20.5789396832,39.84
2013-02-04,20.4404879614,40.08
2013-02-05,20.6593447276,40.27
2013-02-06,21.2085655319,40.37
2013-02-07,22.1177651789,40.5
2013-02-08,22.7873650499,40.76
2013-02-09,23.7338601537,41.11
2013-02-10,23.9002893571,41.17
2013-02-11,24.4972726949,41.33
2013-02-12,24.9797364074,41.49
2013-02-13,24.6416509348,41.74
2013-02-14,27.2823898203,41.98
2013-02-15,27.1712692291,42.88
2013-02-16,27.346163562,43.08
2013-02-17,26.9272513764,43.27
2013-02-18,26.9288676371,43.5
2013-02-19,29.4136243808,43.74
2013-02-20,29.8198072276,44.12
2013-02-21,29.8180689158,44.24
2013-02-22,30.4726565324,44.45
2013-02-23,29.8064545459,44.63
