d,price_usd,binance,bybit,okx,bitget,deribit,bitmex,huobi,bitfinex,gate_io,kucoin,kraken,crypto_com,dydx,delta_exchange
2022-10-04,20339.9712811221,3515967000.0584,1631458874.0338,1583643351.152,1707788301.0,715048031.186,302888212.2963,199200135.2566,113378909.6589,950688546.6398,615346671.8472,57171968.232,,44889371.2491,
2022-10-05,20155.0996987142,4321422364.9541,1860377730.352,1664790984.2503,1853575062.0,728220142.04,320166732.2206,206117743.1278,117839088.0156,1029636843.1167,803191341.9778,54192859.0528,,50699174.9559,
2022-10-06,19950.5477957335,4126035093.5156,1743796934.2667,1634309750.5246,1917625988.0,729334530.644,306183506.1407,203897731.0001,116870376.2005,1076219157.938,690111599.99,54692306.298,,52513593.067,
2022-10-07,19539.1439216832,4043176717.3315,1723883971.2166,1675308083.1658,1967073331.0,744590381.039,306975628.5389,205676232.8429,115971381.8929,1012328461.5424,703169453.7858,54466549.9832,,62841768.4577,
2022-10-08,19416.1772291058,3751291356.58,1728766626.6345,1723903101.5412,1852697492.0,723909802.133,323349730.025,205061261.3827,112765356.8578,1012358631.2759,681894968.5997,55052190.767,8345540.9,73670042.5575,
2022-10-09,19428.3671323787,3695540325.7695,1722358476.2664,1739144858.6989,1845660892.0,725624859.826,328219989.4497,206502333.0745,112060825.993,1038692614.9205,712756293.0012,56387531.0384,7957984.724,71172248.1047,
2022-10-10,19154.4042346581,3711386078.2661,1765219676.2011,1796939063.9521,1893380510.0,732425426.064,329783501.2797,206416543.5792,112401638.4649,1058873161.437,731999932.053,56360482.688,7576243.165,68233493.5922,
2022-10-11,19039.2820683811,3820288917.7966,1744597691.3784,1836701216.9647,1927744991.0,722811897.122,314968801.6362,207274358.338,110139915.448,999542043.3581,728895089.5754,54282372.925,9041289.267,67968512.2048,
2022-10-12,19156.9115645821,3899346941.3591,1788651369.4037,2061990852.1021,1920282971.0,724628718.322,314703568.893,204481215.4936,109972219.0958,832405197.5758,724378270.9478,51592925.3948,9194041.087,62122680.1408,
2022-10-13,19387.8336806546,3797718173.3543,1798651017.8876,2076693960.443,1911575676.0,718934431.571,313157317.2289,205125643.961,110444211.1547,496511768.6812,723692397.332,52773053.344,8381653.371,63342095.2416,
2022-10-14,19177.6941031561,3875482298.8379,1791776137.335,2192840817.4971,1994447290.0,718489837.107,316576119.4755,206469596.6849,112964263.5057,537496196.7486,726099098.9894,59243542.4552,8029089.049,68779849.8526,
2022-10-15,19069.8749272355,3665277243.5025,1764287161.4979,2186927059.5619,1864944213.0,708472741.858,315498206.1632,197025788.7386,111690375.9416,512310597.1985,643675587.5986,60230604.0657,5944379.772,65603460.8352,
2022-10-16,19261.7497878434,3696198729.296,1752407894.1951,2178944048.4483,1876616521.0,707570903.944,317584713.5616,197831621.1792,110983395.7769,545701037.238,691218681.4214,64019243.5518,6494414.128,65683332.6816,
2022-10-17,19557.0218106371,3603046790.3516,1706030496.914,2184327252.1573,1870694659.0,707829195.968,304593376.2349,202562506.1977,112237549.406,523644133.3483,687053074.7516,63803131.9386,6872951.236,68977047.546,
2022-10-18,19341.4075543542,3938861103.0615,1899196669.8774,2210522405.0208,1920439033.0,708192678.696,314511168.9219,205220729.6532,113847080.367,524637880.9087,690993925.4418,78015974.472,6173638.268,74847019.264,
2022-10-19,19132.1544254822,3802592123.1639,1826494059.0089,2201211713.9851,1991464872.0,708201569.344,284600219.9706,202549177.2925,112633320.4093,512142012.2646,679196812.5673,77123262.3456,7190044.318,73766049.6664,
2022-10-20,19033.3760239626,3817177406.5929,1872096317.0624,2226415671.7718,1937672241.0,714689883.225,292228445.8521,199809047.0616,111612883.7402,544038064.2122,761795417.1729,83401593.4768,7388058.875,68240621.9112,
2022-10-21,19174.8763487434,3881472173.0639,1930801645.656,2266502304.7373,1964719669.0,719867446.162,293275414.0544,203026823.6504,110875214.599,499141407.4704,770750287.6561,88553300.3234,7182131.301,66313012.3368,
2022-10-22,19207.6285078901,3760950261.224,1851401566.5695,2248923189.5342,2017735297.0,692641453.618,289316906.2756,206846436.7226,111407344.6728,474497748.9051,758217063.5504,97716197.3553,6327112.067,62494208.3604,
2022-10-23,19565.4123243717,3764881677.8802,1848377971.2253,2234795539.933,2017190054.0,692268994.622,289792716.9976,207934749.5383,111692476.8144,479485117.9457,767337847.3867,97748453.548,5822156.127,64604665.7711,
2022-10-24,19341.460210111,4042879083.9812,1861169717.3248,2235166533.2317,2063837912.0,694325703.395,284705773.3682,203474044.694,113914408.2884,492357945.6515,732036992.5602,97021230.312,7040022.42,60013591.5849,
2022-10-25,20094.9611215663,3693902300.6737,1784534924.591,2220009849.6021,2045441256.0,689273776.336,277013714.4629,201995442.466,112404039.8233,441141378.506,698378291.356,96152601.0066,6201706.21,59686039.6389,
2022-10-26,20797.0308258328,4223233758.879,1967772922.4968,2275615920.79,2200849088.0,684083270.603,303688710.1164,216853276.6076,117111716.3121,546221611.9678,729010850.789,92266189.988,6145446.886,65673988.975,
2022-10-27,20280.1751280538,4438213766.4215,1940629636.9392,2298233632.7757,2138685194.0,702080680.854,277708413.231,226148607.4818,121320210.7617,555137623.0089,739547428.1938,93807226.0874,6525457.673,57725534.76,
2022-10-28,20604.6138535944,4009018915.0307,1837055361.5565,2243934022.023,2046553628.0,705962647.633,268384644.5515,221704098.7666,118580969.6502,489518139.7001,660749417.7122,95419369.752,5799750.53,63679779.5835,
2022-10-29,20803.8999205143,3954473009.9686,1791398012.9061,2232365940.2557,1946933171.0,648175796.962,275488703.3061,221308749.9584,120460816.0244,518082301.6273,665746954.6062,94684051.8293,7737276.171,67063744.8391,
