d,price_usd,address_100_1000
2013-05-27,126.392905903,9793.0
2013-05-28,125.9045952659,9810.0
2013-05-29,129.5648123904,9830.0
2013-05-30,126.5130683811,9836.0
2013-05-31,127.8164888954,9835.0
2013-06-01,128.7911510812,9864.0
2013-06-02,122.6267089421,9878.0
2013-06-03,122.9491879018,9947.0
2013-06-04,120.1899687317,9942.0
2013-06-05,120.8699238457,9956.0
2013-06-06,119.0539756698,9956.0
2013-06-07,110.1977314436,10025.0
2013-06-08,109.1785453413,9997.0
2013-06-09,99.9036034483,9999.0
2013-06-10,104.3575666277,10007.0
2013-06-11,107.5075204559,10034.0
2013-06-12,106.3781163063,10005.0
2013-06-13,101.3238977206,9996.0
2013-06-14,99.2132443016,10000.0
2013-06-15,99.875037405,10019.0
2013-06-16,99.0383512566,9994.0
2013-06-17,100.1263050847,9988.0
2013-06-18,104.2891763822,9992.0
2013-06-19,104.417150789,9997.0
2013-06-20,104.3234997078,9995.0
2013-06-21,101.4168573933,9980.0
2013-06-22,100.0395084746,9963.0
2013-06-23,100.3147445938,9925.0
2013-06-24,99.0456832262,9918.0
2013-06-25,97.83278872,9961.0
2013-06-26,98.6517007598,9974.0
2013-06-27,96.8039495991,9979.0
2013-06-28,89.4245067212,10002.0
2013-06-29,88.7972910579,10012.0
2013-06-30,89.4809076563,9994.0
2013-07-01,82.8675701344,9983.0
2013-07-02,87.8164666861,9988.0
2013-07-03,77.6913308007,9980.0
2013-07-04,79.1348708358,9983.0
2013-07-05,67.4476238527,10049.0
2013-07-06,66.3416808884,10059.0
2013-07-07,72.1095223729,10046.0
2013-07-08,73.9885537697,10060.0
2013-07-09,74.8919108708,10066.0
2013-07-10,85.013679135,10034.0
2013-07-11,87.4975493863,10040.0
2013-07-12,90.0466987142,10065.0
2013-07-13,91.592597896,10097.0
2013-07-14,89.8922692759,10089.0
2013-07-15,93.7961525424,10096.0
2013-07-16,91.7810356517,10066.0
2013-07-17,91.0313512566,10036.0
2013-07-18,84.9617291175,10042.0
2013-07-19,86.2387945996,10040.0
2013-07-20,84.9108591467,9971.0
